Project Name,Registration Number,Project Type,Contact Number,Contact Email,Estimated Cost of Construction (in lacs),Estimated Cost of Land (in lacs)
SAGE SUN VILLAS PHASE - I,P-BPL-24-4678,New,7771001863,ss.agrawalconstruction@gmail.com,550.00,241.26
SAGE BUNGALOW,P-BPL-24-4690,New,9826364377,sc.agrawalconstruction@gmail.com,32.00,224.66
SAGE NIRVANA PHASE - II,P-BPL-24-4730,New,9630847317,sagenirvana22@gmail.com,170.00,25.18
DEVALAYA DIVYA-II,P-BPL-24-4773,New,9425100007,devalaya.builders@gmail.com,723.00,368.00
KASTURI HABITAT PHASE-II,P-BPL-24-4781,New,9425027166,highnetworthenterprisesllp@gmail.com,327.32,2338.18
SHIKHAR HEIGHTS,P-BPL-24-4804,Ongoing,9893645091,shikhar.builders@rediffmail.com,572.73,53.62
SIDDHI SHUBHAM,P-BPL-24-4819,New,9981665221,vishaldeveloper2010@gmail.com,600.00,120.00
AAMRA NIVAASA,P-BPL-24-4895,New,9926673057,ujjawalaubd2022@gmail.com,1423.60,1376.02
SAGAR ELITE-2,P-BPL-24-4906,New,8122436742,agrawalbuilders@thesagar.in,2215.49,515.64
DEV CITY,P-BPL-24-4925,New,9009844272,devcity2024@gmail.com,94.17,694.00
"PMAY SCHEME, RAHUL NAGAR PART-1, PHASE-2, KOTRA SULTANABAD",P-BPL-24-4926,New,9424499853,bmcmp.hfa@gmail.com,12499.31,
ADINATH DHAM,P-OTH-24-4932,New,9479721895,sanjayjain25468@gmail.com,514.32,119.05
RESIDENTIAL CUM COMMERCIAL PROJECT AT ALAM NAGAR - BHOPAL UNDER PRADHAN MANTRI AWAS YOJNA (URBAN) -,P-BPL-24-4939,New,9424499853,bmcmp.hfa@gmail.com,1849.48,
AMALTAS URBAN CITY,P-BPL-24-4940,New,7828512392,corporate@amaltasindia.com,4141.00,2236.00
SURENDRA PLAZA,P-BPL-24-5007,New,9425301567,girijacolonizers@gmail.com,1600.00,2200.00
SANJANA RESIDENCY,P-BPL-24-5010,New,9893593771,globalinfra.residency@gmail.com,93.16,1.43
GALAXY SQUARE,P-BPL-24-5048,New,7772972270,galaxysquarebhopal@gmail.com,409.54,34.74
TAKSHASHILA HOMES,P-OTH-24-5086,New,9893322004,kishorpatidar111@gmail.com,452.00,195.55
LAVKUSH HEIGHTS,P-BPL-24-5107,New,9406725662,eedn5hbbpl@mp.gov.in,3016.00,
AASHIMA ANUPAMA CITY PHASE II,P-BPL-24-5109,New,9993553162,vikasbathma07@gmail.com,6828.25,3313.18
HUB 04,P-BPL-24-5112,New,9111220111,vinodyadav787@gmail.com,70.00,29.10
FORTUNE ELITE,P-BPL-24-5114,New,9827056370,fortunebuildersbpl@gmail.com,,
COURTYARD PRIME,P-BPL-24-5116,New,9111888333,chandrashekharpandey04@gmail.com,857.70,1466.28
PRITHVI COURTYARD PHASE 2-A,P-BPL-24-5124,New,9303131215,sahibprithvi@gmail.com,1426.47,1.41
GREEN VILLE,P-BPL-24-5168,New,9109240499,shiningreality.mail@gmail.com,453.40,861.73
CREATION VIEW,P-BPL-24-5186,New,9425014603,creationdevelopers23@gmail.com,1500.00,900.00
GOKUL DHAM,P-BPL-24-5206,New,8817291089,shivamdutt06@gmail.com,92.00,235.83
AFFORDABLE HOUSING PROJECT AT GANGA NAGAR (PHASE -2) - BHOPAL UNDER PRADHAN MANTRI AWAS YOJNA (URBAN,P-BPL-24-5259,New,9424499853,bmcmp.hfa@gmail.com,1872.00,
JAI MAHADEV GREENS,P-BPL-24-5277,New,9770166781,aswani.mukul7@gmail.com,152.00,270.00
KAROND BUSINESS CENTER (KBC),P-BPL-24-5286,New,8517927500,corralbuilderllp45@gmail.com,2767.76,447.00
ANADI VILLAS PHASE-2,P-BPL-24-5294,New,9826055819,draupadiconstruction@gmail.com,150.36,491.06
SIDDHI SANSKRITI PHASE A-1,P-BPL-24-5301,New,7974838128,siddhisankriti2025@gmail.com,1680.00,
